locus_tag	ftype	length_bp	gene	EC_number	COG	product
JS511_00041	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
JS511_00042	gene	1515	caiT_1			
JS511_00042	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
JS511_00043	gene	771	fixA_1			
JS511_00043	CDS	771	fixA_1		COG2086	Protein FixA
JS511_00044	gene	942	fixB_1			
JS511_00044	CDS	942	fixB_1		COG2025	Protein FixB
JS511_00045	gene	1287	thi4			
JS511_00045	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
JS511_00046	gene	288	fixX_1			
JS511_00046	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
JS511_00047	gene	1332	ygcS_1			
JS511_00047	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
JS511_00048	gene	531	kefF_1			
JS511_00048	CDS	531	kefF_1	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
JS511_00049	gene	1863	kefC_1			
JS511_00049	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
JS511_00050	gene	591	folA			
JS511_00050	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
JS511_00051	gene	234				
JS511_00051	CDS	234				hypothetical protein
JS511_00052	gene	252				
JS511_00052	CDS	252				hypothetical protein
JS511_00053	gene	849	apaH			
JS511_00053	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
JS511_00054	gene	378	apaG			
JS511_00054	CDS	378	apaG		COG2967	Protein ApaG
JS511_00055	gene	822	rsmA			
JS511_00055	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
JS511_00056	gene	990	pdxA			
JS511_00056	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
JS511_00057	gene	1287	surA			
JS511_00057	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
JS511_00058	gene	2355	lptD			
JS511_00058	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
JS511_00059	gene	816	djlA			
JS511_00059	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
JS511_00060	gene	759				
JS511_00060	CDS	759				hypothetical protein
JS511_00061	gene	660	rluA			
JS511_00061	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
JS511_00062	gene	2907	rapA			
JS511_00062	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
JS511_00063	gene	2352	polB			
JS511_00063	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
JS511_00064	gene	696	araD			
JS511_00064	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
JS511_00065	gene	1503	araA			
JS511_00065	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
JS511_00066	gene	1701	araB_1			
JS511_00066	CDS	1701	araB_1	2.7.1.16	COG1069	Ribulokinase
JS511_00067	gene	879	araC			
JS511_00067	CDS	879	araC			Arabinose operon regulatory protein
JS511_00068	gene	765	yabI			
JS511_00068	CDS	765	yabI		COG0586	Inner membrane protein YabI
JS511_00069	gene	699	thiQ			
JS511_00069	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
JS511_00070	gene	1611				
JS511_00070	CDS	1611				hypothetical protein
JS511_00071	gene	984	thiB			
JS511_00071	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
JS511_00072	gene	1656	sgrR_1			
JS511_00072	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
JS511_00073	gene	132	sgrT			
JS511_00073	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
JS511_00074	gene	1179	setA			
JS511_00074	CDS	1179	setA			Sugar efflux transporter A
JS511_00075	gene	606	leuD			
JS511_00075	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
JS511_00076	gene	1401	leuC_1			
JS511_00076	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
JS511_00077	gene	1092	leuB			
JS511_00077	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
JS511_00078	gene	1572	leuA			
JS511_00078	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
JS511_00079	gene	945	leuO			
JS511_00079	CDS	945	leuO			HTH-type transcriptional regulator LeuO
JS511_00080	gene	1725	ilvI			
JS511_00080	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
JS511_00081	gene	492	ilvH			
JS511_00081	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
JS511_00082	gene	1005	cra_1			
JS511_00082	CDS	1005	cra_1		COG1609	Catabolite repressor/activator
JS511_00083	gene	459	mraZ			
JS511_00083	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
JS511_00084	gene	942	rsmH			
JS511_00084	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
JS511_00085	gene	366	ftsL			
JS511_00085	CDS	366	ftsL		COG3116	Cell division protein FtsL
JS511_00086	gene	1779	ftsI			
JS511_00086	CDS	1779	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
JS511_00087	gene	1488	murE			
JS511_00087	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
JS511_00088	gene	1359	murF			
JS511_00088	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JS511_00089	gene	1083	mraY			
JS511_00089	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
JS511_00090	gene	1317	murD			
JS511_00090	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
JS511_00091	gene	1245	ftsW			
JS511_00091	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
JS511_00092	gene	1068	murG			
JS511_00092	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
JS511_00093	gene	1476	murC			
JS511_00093	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
JS511_00094	gene	921	ddlB			
JS511_00094	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
JS511_00095	gene	831	ftsQ			
JS511_00095	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
JS511_00096	gene	1263	ftsA_1			
JS511_00096	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
JS511_00097	gene	1152	ftsZ			
JS511_00097	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
JS511_00098	gene	918	lpxC			
JS511_00098	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
JS511_00099	gene	588	secM			
JS511_00099	CDS	588	secM			Secretion monitor
JS511_00100	gene	2706	secA			
JS511_00100	CDS	2706	secA		COG0653	Protein translocase subunit SecA
JS511_00101	gene	390	mutT			
JS511_00101	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
JS511_00102	gene	198	yacG			
JS511_00102	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
JS511_00103	gene	744	zapD			
JS511_00103	CDS	744	zapD		COG4582	Cell division protein ZapD
JS511_00104	gene	621	coaE			
JS511_00104	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
JS511_00105	gene	1044	guaC			
JS511_00105	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
JS511_00106	gene	1203	epsF_1			
JS511_00106	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
JS511_00107	gene	1386	epsE_1			
JS511_00107	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
JS511_00108	gene	441				
JS511_00108	CDS	441				hypothetical protein
JS511_00109	gene	894	nadC_1			
JS511_00109	CDS	894	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
JS511_00110	gene	552	ampD			
JS511_00110	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
JS511_00111	gene	855	ampE			
JS511_00111	CDS	855	ampE		COG3725	Protein AmpE
JS511_00112	gene	1371	aroP			
JS511_00112	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
JS511_00113	gene	765	pdhR			
JS511_00113	CDS	765	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
JS511_00114	gene	2664	aceE			
JS511_00114	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
JS511_00115	gene	1893	aceF			
JS511_00115	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
JS511_00116	gene	1425	lpdA			
JS511_00116	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
JS511_00117	gene	1758				
JS511_00117	CDS	1758				hypothetical protein
JS511_00118	gene	2598	acnB			
JS511_00118	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
JS511_00119	gene	363				
JS511_00119	CDS	363				hypothetical protein
JS511_00120	gene	795	speD			
JS511_00120	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
JS511_00121	gene	867	speE			
JS511_00121	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
JS511_00122	gene	309				
JS511_00122	CDS	309				hypothetical protein
JS511_00123	gene	1551	cueO			
JS511_00123	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
JS511_00124	gene	2385	gcd			
JS511_00124	CDS	2385	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
JS511_00125	gene	537	hpt			
JS511_00125	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
JS511_00126	gene	663	can			
JS511_00126	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
JS511_00127	gene	927	yadG			
JS511_00127	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
JS511_00128	gene	768	yadH			
JS511_00128	CDS	768	yadH		COG0842	Inner membrane transport permease YadH
JS511_00129	gene	441				
JS511_00129	CDS	441				hypothetical protein
JS511_00130	gene	1230				
JS511_00130	CDS	1230				hypothetical protein
JS511_00131	gene	381	panD			
JS511_00131	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
JS511_00132	gene	891				
JS511_00132	CDS	891				ISNCY family transposase ISRor2
JS511_00133	gene	852	panC			
JS511_00133	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
JS511_00134	gene	795	panB			
JS511_00134	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
JS511_00135	gene	1251	yadC			
JS511_00135	CDS	1251	yadC			putative fimbrial-like protein YadC
JS511_00136	gene	600	yadK			
JS511_00136	CDS	600	yadK			putative fimbrial-like protein YadK
JS511_00137	gene	561	yadM			
JS511_00137	CDS	561	yadM			putative fimbrial-like protein YadM
JS511_00138	gene	2622	htrE			
JS511_00138	CDS	2622	htrE		COG3188	Outer membrane usher protein HtrE
JS511_00139	gene	732	yadV			
JS511_00139	CDS	732	yadV			putative fimbrial chaperone YadV
JS511_00140	gene	573	yadN			
JS511_00140	CDS	573	yadN			putative fimbrial-like protein YadN
JS511_00141	gene	480	folK			
JS511_00141	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
JS511_00142	gene	1365	pcnB			
JS511_00142	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
JS511_00143	gene	927	gluQ			
JS511_00143	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
JS511_00144	gene	456	dksA			
JS511_00144	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
JS511_00145	gene	705	sfsA			
JS511_00145	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
JS511_00146	gene	531	thpR			
JS511_00146	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
JS511_00147	gene	1755	hrpB_1			
JS511_00147	CDS	1755	hrpB_1	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
JS511_00148	gene	648	hrpB_2			
JS511_00148	CDS	648	hrpB_2	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
JS511_00149	gene	2532	mrcB			
JS511_00149	CDS	2532	mrcB		COG0744	Penicillin-binding protein 1B
JS511_00150	gene	2244	fhuA			
JS511_00150	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
JS511_00151	gene	798	fhuC			
JS511_00151	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
JS511_00152	gene	891	fhuD			
JS511_00152	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
JS511_00153	gene	1983	fhuB			
JS511_00153	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
JS511_00154	gene	1281	hemL			
JS511_00154	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
JS511_00155	gene	1422	clcA			
JS511_00155	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
JS511_00156	gene	345	erpA			
JS511_00156	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
JS511_00157	gene	624				
JS511_00157	CDS	624				hypothetical protein
JS511_00158	gene	801	btuF			
JS511_00158	CDS	801	btuF		COG0614	Vitamin B12-binding protein
JS511_00159	gene	699	mtnN			
JS511_00159	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
JS511_00160	gene	1518	dgt			
JS511_00160	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
JS511_00161	gene	1425	degP			
JS511_00161	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
JS511_00162	gene	1158	cdaR			
JS511_00162	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
JS511_00163	gene	387				
JS511_00163	CDS	387				hypothetical protein
JS511_00164	gene	825	dapD			
JS511_00164	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
JS511_00165	gene	2673	glnD			
JS511_00165	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
JS511_00166	gene	795	map			
JS511_00166	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
JS511_00167	gene	726	rpsB			
JS511_00167	CDS	726	rpsB		COG0052	30S ribosomal protein S2
JS511_00168	gene	852	tsf			
JS511_00168	CDS	852	tsf		COG0264	Elongation factor Ts
JS511_00169	gene	726	pyrH			
JS511_00169	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
JS511_00170	gene	558	frr			
JS511_00170	CDS	558	frr		COG0233	Ribosome-recycling factor
JS511_00171	gene	1197	dxr			
JS511_00171	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
JS511_00172	gene	759	ispU			
JS511_00172	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
JS511_00173	gene	153				
JS511_00173	CDS	153				hypothetical protein
JS511_00174	gene	750	cdsA_1			
JS511_00174	CDS	750	cdsA_1	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
JS511_00175	gene	1353	rseP			
JS511_00175	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
JS511_00176	gene	2433	bamA			
JS511_00176	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
JS511_00177	gene	486	skp			
JS511_00177	CDS	486	skp		COG2825	Chaperone protein Skp
JS511_00178	gene	1026	lpxD			
JS511_00178	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
JS511_00179	gene	456	fabZ			
JS511_00179	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
JS511_00180	gene	789	lpxA			
JS511_00180	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JS511_00181	gene	1149	lpxB			
JS511_00181	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
JS511_00182	gene	597	rnhB			
JS511_00182	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
JS511_00183	gene	3483	dnaE			
JS511_00183	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
JS511_00184	gene	960	accA			
JS511_00184	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
JS511_00185	gene	2142	ldcC			
JS511_00185	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
JS511_00186	gene	390				
JS511_00186	CDS	390				hypothetical protein
JS511_00187	gene	1299	tilS			
JS511_00187	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
JS511_00188	gene	261	rof			
JS511_00188	CDS	261	rof		COG4568	Protein rof
JS511_00189	gene	201				
JS511_00189	CDS	201				hypothetical protein
JS511_00190	gene	546	yaeQ			
JS511_00190	CDS	546	yaeQ		COG4681	putative protein YaeQ
JS511_00191	gene	423	arfB			
JS511_00191	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
JS511_00192	gene	711	nlpE			
JS511_00192	CDS	711	nlpE		COG3015	Lipoprotein NlpE
JS511_00193	gene	825				
JS511_00193	CDS	825				hypothetical protein
JS511_00194	gene	1719	proS			
JS511_00194	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
JS511_00195	gene	708	trmO			
JS511_00195	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
JS511_00196	gene	405	rcsF			
JS511_00196	CDS	405	rcsF			Outer membrane lipoprotein RcsF
JS511_00197	gene	816	metQ			
JS511_00197	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
JS511_00198	gene	654	metI			
JS511_00198	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
JS511_00199	gene	1032	metN			
JS511_00199	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
JS511_00200	gene	573	gmhB			
JS511_00200	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
JS511_00201	gene	77				
JS511_00201	tRNA	77				tRNA-Asp(gtc)
JS511_00202	gene	804	dkgB			
JS511_00202	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
JS511_00203	gene	915	dmlR_1			
JS511_00203	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
JS511_00204	gene	780				
JS511_00204	CDS	780				hypothetical protein
JS511_00205	gene	771	ycgJ			
JS511_00205	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
JS511_00206	gene	1221	mltD			
JS511_00206	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
JS511_00207	gene	756	gloB			
JS511_00207	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
JS511_00208	gene	723				
JS511_00208	CDS	723				hypothetical protein
JS511_00209	gene	468	rnhA			
JS511_00209	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
JS511_00210	gene	741	dnaQ			
JS511_00210	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
JS511_00211	gene	77				
JS511_00211	tRNA	77				tRNA-Asp(gtc)
JS511_00212	gene	531				
JS511_00212	CDS	531				hypothetical protein
JS511_00213	gene	873				
JS511_00213	CDS	873				hypothetical protein
JS511_00214	gene	108	yqcG			
JS511_00214	CDS	108	yqcG			putative protein YqcG
JS511_00215	gene	672	queE			
JS511_00215	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
	repeat_region	639				
JS511_00216	gene	1479	lsrK_1			
JS511_00216	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
JS511_00217	gene	1278	yqcE			
JS511_00217	CDS	1278	yqcE			Inner membrane protein YqcE
JS511_00218	gene	786	kduD_1			
JS511_00218	CDS	786	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
JS511_00219	gene	1455				
JS511_00219	CDS	1455				hypothetical protein
JS511_00220	gene	1410	ygcS_2			
JS511_00220	CDS	1410	ygcS_2			Inner membrane metabolite transport protein YgcS
JS511_00221	gene	780				
JS511_00221	CDS	780				hypothetical protein
JS511_00222	gene	861	fixB_2			
JS511_00222	CDS	861	fixB_2			Protein FixB
JS511_00223	gene	585				
JS511_00223	CDS	585				hypothetical protein
JS511_00224	gene	576	ygcP			
JS511_00224	CDS	576	ygcP		COG1954	putative protein YgcP
JS511_00225	gene	261	fixX_2			
JS511_00225	CDS	261	fixX_2		COG2440	Ferredoxin-like protein FixX
JS511_00226	gene	1272				
JS511_00226	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
JS511_00227	gene	366	queD			
JS511_00227	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
JS511_00228	gene	1800	cysJ			
JS511_00228	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
JS511_00229	gene	1713	cysI			
JS511_00229	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
JS511_00230	gene	735	cysH_1			
JS511_00230	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
JS511_00231	gene	153	hokE_1			
JS511_00231	CDS	153	hokE_1			Toxic protein HokE
JS511_00232	gene	2700	ygcB			
JS511_00232	CDS	2700	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
JS511_00233	gene	1563	casA			
JS511_00233	CDS	1563	casA			CRISPR system Cascade subunit CasA
JS511_00234	gene	537				
JS511_00234	CDS	537				hypothetical protein
JS511_00235	gene	1056	casC			
JS511_00235	CDS	1056	casC			CRISPR system Cascade subunit CasC
JS511_00236	gene	747				
JS511_00236	CDS	747				hypothetical protein
JS511_00237	gene	651	casE			
JS511_00237	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
JS511_00238	gene	924	ygbT			
