locus_tag	ftype	length_bp	gene	EC_number	COG	product
JS526_00053	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
JS526_00054	gene	1092	leuB			
JS526_00054	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
JS526_00055	gene	1572	leuA			
JS526_00055	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
JS526_00056	gene	945	leuO			
JS526_00056	CDS	945	leuO			HTH-type transcriptional regulator LeuO
JS526_00057	gene	1725	ilvI			
JS526_00057	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
JS526_00058	gene	492	ilvH			
JS526_00058	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
JS526_00059	gene	1005	cra			
JS526_00059	CDS	1005	cra		COG1609	Catabolite repressor/activator
JS526_00060	gene	459	mraZ			
JS526_00060	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
JS526_00061	gene	942	rsmH			
JS526_00061	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
JS526_00062	gene	366	ftsL			
JS526_00062	CDS	366	ftsL		COG3116	Cell division protein FtsL
JS526_00063	gene	1767	ftsI			
JS526_00063	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
JS526_00064	gene	1488	murE			
JS526_00064	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
JS526_00065	gene	1359	murF			
JS526_00065	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JS526_00066	gene	1083	mraY			
JS526_00066	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
JS526_00067	gene	1317	murD			
JS526_00067	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
JS526_00068	gene	1245	ftsW			
JS526_00068	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
JS526_00069	gene	1068	murG			
JS526_00069	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
JS526_00070	gene	1476	murC			
JS526_00070	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
JS526_00071	gene	921	ddlB			
JS526_00071	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
JS526_00072	gene	831	ftsQ			
JS526_00072	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
JS526_00073	gene	1263	ftsA_1			
JS526_00073	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
JS526_00074	gene	1152	ftsZ			
JS526_00074	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
JS526_00075	gene	918	lpxC			
JS526_00075	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
JS526_00076	gene	588	secM			
JS526_00076	CDS	588	secM			Secretion monitor
JS526_00077	gene	2706	secA			
JS526_00077	CDS	2706	secA		COG0653	Protein translocase subunit SecA
JS526_00078	gene	390	mutT			
JS526_00078	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
JS526_00079	gene	198	yacG			
JS526_00079	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
JS526_00080	gene	744	zapD			
JS526_00080	CDS	744	zapD		COG4582	Cell division protein ZapD
JS526_00081	gene	621	coaE			
JS526_00081	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
JS526_00082	gene	1044	guaC			
JS526_00082	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
JS526_00083	gene	1203	epsF			
JS526_00083	CDS	1203	epsF		COG1459	Type II secretion system protein F
JS526_00084	gene	1386	epsE			
JS526_00084	CDS	1386	epsE		COG2804	Type II secretion system protein E
JS526_00085	gene	441				
JS526_00085	CDS	441				hypothetical protein
JS526_00086	gene	894	nadC			
JS526_00086	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
JS526_00087	gene	552	ampD			
JS526_00087	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
JS526_00088	gene	855	ampE			
JS526_00088	CDS	855	ampE		COG3725	Protein AmpE
JS526_00089	gene	1371	aroP			
JS526_00089	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
JS526_00090	gene	765	pdhR_1			
JS526_00090	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
JS526_00091	gene	2664	aceE			
JS526_00091	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
JS526_00092	gene	1893	aceF			
JS526_00092	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
JS526_00093	gene	1425	lpdA			
JS526_00093	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
JS526_00094	gene	1854				
JS526_00094	CDS	1854				hypothetical protein
JS526_00095	gene	2598	acnB			
JS526_00095	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
JS526_00096	gene	363				
JS526_00096	CDS	363				hypothetical protein
JS526_00097	gene	795	speD			
JS526_00097	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
JS526_00098	gene	867	speE			
JS526_00098	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
JS526_00099	gene	309				
JS526_00099	CDS	309				hypothetical protein
JS526_00100	gene	1551	cueO			
JS526_00100	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
JS526_00101	gene	2391	gcd			
JS526_00101	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
JS526_00102	gene	537	hpt			
JS526_00102	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
JS526_00103	gene	663	can			
JS526_00103	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
JS526_00104	gene	927	yadG			
JS526_00104	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
JS526_00105	gene	771	yadH			
JS526_00105	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
JS526_00106	gene	441				
JS526_00106	CDS	441				hypothetical protein
JS526_00107	gene	1230				
JS526_00107	CDS	1230				hypothetical protein
JS526_00108	gene	381	panD			
JS526_00108	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
JS526_00109	gene	903				
JS526_00109	CDS	903				ISNCY family transposase ISSen7
JS526_00110	gene	852	panC			
JS526_00110	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
JS526_00111	gene	795	panB			
JS526_00111	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
JS526_00112	gene	1239	yadC			
JS526_00112	CDS	1239	yadC			putative fimbrial-like protein YadC
JS526_00113	gene	597	yadK			
JS526_00113	CDS	597	yadK			putative fimbrial-like protein YadK
JS526_00114	gene	606	yadL			
JS526_00114	CDS	606	yadL			putative fimbrial-like protein YadL
JS526_00115	gene	570	yadM			
JS526_00115	CDS	570	yadM			putative fimbrial-like protein YadM
JS526_00116	gene	2598	htrE			
JS526_00116	CDS	2598	htrE		COG3188	Outer membrane usher protein HtrE
JS526_00117	gene	741	yadV			
JS526_00117	CDS	741	yadV			putative fimbrial chaperone YadV
JS526_00118	gene	585	yadN			
JS526_00118	CDS	585	yadN			putative fimbrial-like protein YadN
JS526_00119	gene	480	folK			
JS526_00119	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
JS526_00120	gene	1365	pcnB			
JS526_00120	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
JS526_00121	gene	927	gluQ			
JS526_00121	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
JS526_00122	gene	456	dksA			
JS526_00122	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
JS526_00123	gene	705	sfsA			
JS526_00123	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
JS526_00124	gene	531	thpR			
JS526_00124	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
JS526_00125	gene	2430	hrpB			
JS526_00125	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
JS526_00126	gene	2535	mrcB			
JS526_00126	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
JS526_00127	gene	2244	fhuA			
JS526_00127	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
JS526_00128	gene	798	fhuC			
JS526_00128	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
JS526_00129	gene	891	fhuD			
JS526_00129	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
JS526_00130	gene	1983	fhuB			
JS526_00130	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
JS526_00131	gene	1281	hemL			
JS526_00131	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
JS526_00132	gene	1422	clcA			
JS526_00132	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
JS526_00133	gene	345	erpA			
JS526_00133	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
JS526_00134	gene	624				
JS526_00134	CDS	624				hypothetical protein
JS526_00135	gene	801	btuF			
JS526_00135	CDS	801	btuF		COG0614	Vitamin B12-binding protein
JS526_00136	gene	699	mtnN			
JS526_00136	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
JS526_00137	gene	1518	dgt			
JS526_00137	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
JS526_00138	gene	1425	degP			
JS526_00138	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
JS526_00139	gene	1158	cdaR			
JS526_00139	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
JS526_00140	gene	387				
JS526_00140	CDS	387				hypothetical protein
JS526_00141	gene	813	lpxG			
JS526_00141	CDS	813	lpxG	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
JS526_00142	gene	825	dapD			
JS526_00142	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
JS526_00143	gene	2673	glnD			
JS526_00143	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
JS526_00144	gene	795	map			
JS526_00144	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
JS526_00145	gene	726	rpsB			
JS526_00145	CDS	726	rpsB		COG0052	30S ribosomal protein S2
JS526_00146	gene	852	tsf			
JS526_00146	CDS	852	tsf		COG0264	Elongation factor Ts
JS526_00147	gene	726	pyrH			
JS526_00147	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
JS526_00148	gene	558	frr			
JS526_00148	CDS	558	frr		COG0233	Ribosome-recycling factor
JS526_00149	gene	1197	dxr			
JS526_00149	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
JS526_00150	gene	759	ispU			
JS526_00150	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
JS526_00151	gene	153				
JS526_00151	CDS	153				hypothetical protein
JS526_00152	gene	750	cdsA			
JS526_00152	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
JS526_00153	gene	1353	rseP			
JS526_00153	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
JS526_00154	gene	2433	bamA			
JS526_00154	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
JS526_00155	gene	486	skp			
JS526_00155	CDS	486	skp		COG2825	Chaperone protein Skp
JS526_00156	gene	1026	lpxD_1			
JS526_00156	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
JS526_00157	gene	456	fabZ			
JS526_00157	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
JS526_00158	gene	789	lpxA			
JS526_00158	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JS526_00159	gene	1149	lpxB			
JS526_00159	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
JS526_00160	gene	597	rnhB			
JS526_00160	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
JS526_00161	gene	3483	dnaE			
JS526_00161	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
JS526_00162	gene	960	accA			
JS526_00162	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
JS526_00163	gene	2142	ldcC			
JS526_00163	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
JS526_00164	gene	390				
JS526_00164	CDS	390				hypothetical protein
JS526_00165	gene	1299	tilS			
JS526_00165	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
JS526_00166	gene	261	rof			
JS526_00166	CDS	261	rof		COG4568	Protein rof
JS526_00167	gene	201				
JS526_00167	CDS	201				hypothetical protein
JS526_00168	gene	546	yaeQ			
JS526_00168	CDS	546	yaeQ		COG4681	putative protein YaeQ
JS526_00169	gene	423	arfB			
JS526_00169	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
JS526_00170	gene	711	nlpE			
JS526_00170	CDS	711	nlpE		COG3015	Lipoprotein NlpE
JS526_00171	gene	825				
JS526_00171	CDS	825				hypothetical protein
JS526_00172	gene	1719	proS			
JS526_00172	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
JS526_00173	gene	708	trmO			
JS526_00173	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
JS526_00174	gene	405	rcsF			
JS526_00174	CDS	405	rcsF			Outer membrane lipoprotein RcsF
JS526_00175	gene	816	metQ			
JS526_00175	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
JS526_00176	gene	654	metI			
JS526_00176	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
JS526_00177	gene	1032	metN			
JS526_00177	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
JS526_00178	gene	576	gmhB			
JS526_00178	CDS	576	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
JS526_00179	gene	804	dkgB			
JS526_00179	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
JS526_00180	gene	915	dmlR_1			
JS526_00180	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
JS526_00181	gene	780				
JS526_00181	CDS	780				hypothetical protein
JS526_00182	gene	624	ycgJ			
JS526_00182	CDS	624	ycgJ	2.1.1.-		putative methyltransferase YcgJ
JS526_00183	gene	1221	mltD			
JS526_00183	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
JS526_00184	gene	756	gloB			
JS526_00184	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
JS526_00185	gene	723				
JS526_00185	CDS	723				hypothetical protein
JS526_00186	gene	468	rnhA			
JS526_00186	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
JS526_00187	gene	741	dnaQ			
JS526_00187	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
JS526_00188	gene	77				
JS526_00188	tRNA	77				tRNA-Asp(gtc)
JS526_00189	gene	786				
JS526_00189	CDS	786				hypothetical protein
JS526_00190	gene	480				
JS526_00190	CDS	480				hypothetical protein
JS526_00191	gene	339				
JS526_00191	CDS	339				hypothetical protein
JS526_00192	gene	771	yafV			
JS526_00192	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
JS526_00193	gene	474	ivy			
JS526_00193	CDS	474	ivy			Inhibitor of vertebrate lysozyme
JS526_00194	gene	2445	fadE			
JS526_00194	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
JS526_00195	gene	579	gmhA			
JS526_00195	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
JS526_00196	gene	768	yafJ			
JS526_00196	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
JS526_00197	gene	741				
JS526_00197	CDS	741				hypothetical protein
JS526_00198	gene	279	yafQ			
JS526_00198	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
JS526_00199	gene	261	dinJ			
JS526_00199	CDS	261	dinJ		COG3077	Antitoxin DinJ
JS526_00200	gene	627				
JS526_00200	CDS	627				hypothetical protein
JS526_00201	gene	498	rayT			
JS526_00201	CDS	498	rayT		COG1943	REP-associated tyrosine transposase
JS526_00202	gene	1740	flhA_1			
JS526_00202	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
JS526_00203	gene	636	lafU			
JS526_00203	CDS	636	lafU		COG1360	Chemotaxis protein LafU
JS526_00204	gene	1056	dinB			
JS526_00204	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
JS526_00205	gene	294	yafN			
JS526_00205	CDS	294	yafN		COG2161	Antitoxin YafN
JS526_00206	gene	399	yafO			
JS526_00206	CDS	399	yafO	3.1.-.-		mRNA interferase toxin YafO
JS526_00207	gene	375	yafP			
JS526_00207	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
JS526_00208	gene	267				
JS526_00208	CDS	267				hypothetical protein
JS526_00209	gene	501	prfB_1			
JS526_00209	CDS	501	prfB_1			Peptide chain release factor 2
JS526_00210	gene	1458	pepD			
JS526_00210	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
JS526_00211	gene	459	gpt			
JS526_00211	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
JS526_00212	gene	1245				
JS526_00212	CDS	1245				hypothetical protein
JS526_00213	gene	402	crl			
JS526_00213	CDS	402	crl			Sigma factor-binding protein Crl
JS526_00214	gene	1056	phoE			
JS526_00214	CDS	1056	phoE		COG3203	Outer membrane porin PhoE
JS526_00215	gene	1104	proB			
JS526_00215	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
JS526_00216	gene	1254	proA_1			
JS526_00216	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
JS526_00217	gene	76				
JS526_00217	tRNA	76				tRNA-Thr(cgt)
JS526_00218	gene	105				
JS526_00218	CDS	105				hypothetical protein
JS526_00219	gene	342	ykfI			
JS526_00219	CDS	342	ykfI			Toxin YkfI
JS526_00220	gene	318	yafW			
JS526_00220	CDS	318	yafW			Antitoxin YafW
JS526_00221	gene	222				
JS526_00221	CDS	222				hypothetical protein
JS526_00222	gene	477				
JS526_00222	CDS	477				hypothetical protein
JS526_00223	gene	459	klcA_1			
JS526_00223	CDS	459	klcA_1			Antirestriction protein KlcA
JS526_00224	gene	240				
JS526_00224	CDS	240				hypothetical protein
JS526_00225	gene	468				
JS526_00225	CDS	468				hypothetical protein
JS526_00226	gene	858				
JS526_00226	CDS	858				hypothetical protein
JS526_00227	gene	822				
JS526_00227	CDS	822				hypothetical protein
JS526_00228	gene	864	era_1			
JS526_00228	CDS	864	era_1			GTPase Era
JS526_00229	gene	894	perR			
JS526_00229	CDS	894	perR			HTH-type transcriptional regulator PerR
JS526_00230	gene	360				
JS526_00230	CDS	360				hypothetical protein
JS526_00231	gene	273				
JS526_00231	CDS	273				hypothetical protein
JS526_00232	gene	432				
JS526_00232	CDS	432				hypothetical protein
JS526_00233	gene	156				
JS526_00233	CDS	156				hypothetical protein
JS526_00234	gene	444	ygeK			
JS526_00234	CDS	444	ygeK			putative response regulatory protein YgeK
JS526_00235	gene	375				
JS526_00235	CDS	375				hypothetical protein
JS526_00236	gene	219				
JS526_00236	CDS	219				hypothetical protein
JS526_00237	gene	1377	hilA			
JS526_00237	CDS	1377	hilA		COG0457	Transcriptional regulator HilA
JS526_00238	gene	492	sicA			
JS526_00238	CDS	492	sicA		COG0457	Chaperone protein SicA
JS526_00239	gene	447				
JS526_00239	CDS	447				hypothetical protein
JS526_00240	gene	426				
JS526_00240	CDS	426				hypothetical protein
JS526_00241	gene	141				
JS526_00241	CDS	141				hypothetical protein
JS526_00242	gene	483				
JS526_00242	CDS	483				hypothetical protein
JS526_00243	gene	810				
JS526_00243	CDS	810				hypothetical protein
JS526_00244	gene	132				
JS526_00244	CDS	132				hypothetical protein
JS526_00245	gene	633				
JS526_00245	CDS	633				hypothetical protein
